user_id,risk_score,decision,reason_str,graph_risk_score,temporal_risk_score,anomaly_score,fraud_label
1,54.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.96277,42.121605,1
2,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.959316,0.0,0
3,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.971348,0.0,0
4,41.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (105% of orders returned),72.82,48.979664,0.57393616,0
5,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.949688,0.0,1
6,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (168% of orders returned),73.95,48.96068,0.0,0
7,43.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),79.05,48.970448,0.0,1
8,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.43,48.9909,0.0,1
9,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.9652,0.0,0
10,42.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (261% of orders returned) | Multiple 'Wardrobing' returns flagged,74.12,48.969097,0.47354284,0
11,42.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.439877,2.464451,1
12,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.43,48.971886,0.0,1
13,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.96418,0.0,0
14,41.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.77,48.970036,0.0,1
15,43.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.968,4.1304884,0
16,43.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.92279,6.3679366,1
17,65.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Behavior significantly deviates from normal user profile,74.32,48.959248,79.08613,1
18,40.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),71.05,48.957756,0.0,1
19,48.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (210% of orders returned),77.78,48.933132,17.942266,0
20,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (69% of orders returned),74.12,48.964764,0.0,1
21,41.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.82,48.979248,0.0,1
22,48.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.943214,18.050453,1
23,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.94762,0.0,0
24,65.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Behavior significantly deviates from normal user profile,74.12,48.933037,78.93873,1
25,47.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.94891,17.240242,1
26,42.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.954006,0.5466136,0
27,57.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (185% of orders returned),73.95,48.963486,52.634346,1
28,42.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (112% of orders returned),77.08,48.97248,0.0,1
29,41.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (283% of orders returned),72.5,48.93531,0.7674191,1
30,42.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (149% of orders returned),76.7,48.949802,0.0,1
31,55.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.990524,44.837856,1
32,50.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.952568,27.613358,0
33,43.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (283% of orders returned),74.12,48.928013,5.32194,0
34,44.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.960747,7.6314526,1
35,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.925682,0.0,0
36,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.962746,0.0,0
37,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (69% of orders returned),73.96,48.94282,0.0,1
38,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.44,48.959026,0.0,1
39,46.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.954815,16.672598,0
40,49.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.9786,25.82932,1
41,62.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Behavior significantly deviates from normal user profile,73.95,48.96513,68.1153,0
42,52.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.941864,34.21399,1
43,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93066,100.0,1
44,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.958786,0.0,0
45,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (105% of orders returned),74.12,49.002033,0.0,0
46,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.936005,0.0,0
47,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.968136,0.0,0
48,42.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (157% of orders returned),76.92,48.971443,0.0,1
49,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.979435,0.0,0
50,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.970833,0.0,1
51,45.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.958626,12.068237,0
52,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (80% of orders returned),74.12,48.970528,0.0,0
53,58.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.92806,53.155922,0
54,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.947014,0.0,0
55,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.92862,0.0,1
56,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (157% of orders returned),73.96,48.96665,0.0,1
57,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.979298,0.0,1
58,41.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.06,49.00401,0.0,0
59,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.962376,0.0,0
60,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.950897,0.0,0
61,41.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (105% of orders returned),72.06,48.925644,0.0,1
62,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.95995,0.0,1
63,41.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.06,48.96496,0.0,1
64,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.9728,0.0,0
65,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.976707,0.0,0
66,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.43,48.94691,0.0,1
67,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.966034,0.0,1
68,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.946606,0.0,1
69,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.94818,0.0,0
70,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.956837,0.0,0
71,43.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.94883,4.9873924,0
72,42.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.92,48.93137,0.0,1
73,44.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (339% of orders returned),74.12,48.939476,7.5472994,0
74,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (222% of orders returned),74.32,48.952995,0.0,1
75,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (128% of orders returned),74.32,48.952465,0.0,1
76,56.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.92,48.970474,46.723835,0
77,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.971714,0.0,0
78,48.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.990204,21.873466,1
79,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.95646,0.0,1
80,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.954704,0.0,0
81,50.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.5,48.949688,29.408594,1
82,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.940002,0.0,1
83,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.958534,0.0,0
