user_id,return_reason,days_to_return,return_status,return_amount
3855,Damaged,8,Approved,1058.97
3698,Damaged,22,Approved,4939.03
4674,Changed Mind,28,Approved,3576.46
4435,Damaged,24,Approved,1582.09
808,Damaged,22,Pending,236.33
4957,Quality Issue,24,Rejected,3996.01
3217,Wrong Item,18,Rejected,2928.47
1939,Changed Mind,19,Approved,1625.53
3086,Quality Issue,17,Approved,2683.9
5802,Wrong Item,28,Pending,4492.86
5146,Quality Issue,12,Approved,410.89
5003,Changed Mind,23,Pending,3686.76
2777,Wrong Item,3,Approved,4327.49
4705,Changed Mind,14,Approved,2650.45
2311,Wrong Item,27,Pending,4808.41
4117,Quality Issue,9,Pending,1235.21
3838,Changed Mind,24,Pending,3633.97
1499,Damaged,16,Pending,2181.82
1599,Quality Issue,6,Approved,1957.42
367,Quality Issue,1,Approved,3217.88
839,Changed Mind,6,Approved,3086.28
2602,Quality Issue,15,Approved,1899.17
2868,Wrong Item,11,Approved,1939.94
991,Damaged,27,Approved,2451.47
2502,Wardrobing,23,Pending,4964.92
3626,Damaged,1,Approved,4012.66
1396,Wrong Item,16,Approved,1894.86
2030,Wardrobing,4,Approved,1879.54
2206,Quality Issue,20,Rejected,4494.11
3031,Wrong Item,3,Pending,3918.37
2199,Changed Mind,3,Approved,3302.39
4422,Quality Issue,18,Approved,3599.22
1965,Damaged,27,Approved,379.27
2604,Quality Issue,4,Pending,553.88
2277,Damaged,7,Pending,1647.08
1098,Damaged,8,Approved,2415.7
4115,Quality Issue,11,Approved,3583.85
1413,Damaged,27,Approved,3932.44
1782,Changed Mind,28,Approved,4435.47
4757,Quality Issue,11,Approved,1427.61
5694,Damaged,22,Rejected,3765.21
4026,Wardrobing,3,Approved,4973.96
5499,Quality Issue,16,Approved,1120.11
5126,Damaged,19,Rejected,441.59
2886,Quality Issue,26,Rejected,4492.93
4622,Wardrobing,25,Approved,761.0
1971,Wrong Item,4,Rejected,3626.9
2763,Wrong Item,14,Approved,1997.89
3213,Quality Issue,5,Approved,1842.04
5763,Wrong Item,3,Approved,4708.89
5092,Damaged,7,Rejected,1820.6
